,0,1,2,3,4,5,6,7,8,9,10,11
149,Igsf9,Lama3,Hoxd13,Mt3,Sec16a,Ptgis,Fbn1,Slc30a7,Gpam,Sst,Olfml3,Ubd
150,Btg1,Rbp2,Lama3,Sdc3,Fabp2,Krt17,Fstl1,Hilpda,Hpn,Pcp4l1,Cdh2,Alox5ap
151,Nupr1,Neat1,Igsf9,Col1a2,Mcoln2,Tnfrsf12a,Popdc2,St3gal3,Lum,Rgs5,Ncald,Cr2
152,Baiap2l2,Ces2a,Cdhr5,Fxyd3,Selenom,Enah,Abi3bp,Ephb4,Rnf32,Gas1,Peg3,Adcy7
153,Ptprd,Trpm6,Abcg2,Mfge8,Casc4,Kcnmb1,Bcam,Spc24,Col14a1,Hif1a,Snca,Otulinl
154,Sult1c2,Stk17b,Sgk1,Col6a3,AC149090.1,Il6st,Il6st,Mcoln2,Cdca7,Tac1,Gpx3,Fermt3
155,Tm4sf20,Tm4sf20,Chp2,Prnp,Ccnb2,Tspan2,Grem2,Dek,Ifi27l2a,Ly6a,Islr,Ikzf1
156,Muc3,Slc20a1,Fa2h,Shisal1,Cxxc5,Art3,Trf,Baiap2l2,Hoxa9,B3gnt7,Celf4,Nrros
157,Cldn23,Apoc2,Mall,Rbpms2,Apol10a,Mmp17,Phlda3,Cbfa2t3,Gstp3,Slco2a1,Scoc,Sash3
158,Naip1,Dgat2,Mafb,Ccn3,Hoxb5,Igfbp2,C1qb,Guca2b,Npy1r,Slc34a2,Ctxn1,Gimap5
159,Ipmk,Tns4,Sdcbp2,Nxn,Utrn,Hmcn2,Fhl1,Melk,Gm13648,Iqgap2,Dpp6,Rpl4
160,Tmem140,Phlpp2,Cdhr2,Id4,Cyp2c65,Hand2,Thbs4,Abce1,Snhg5,Stk17b,Faim2,Mndal
161,3100003L05Rik,Fhl1,Atf3,Arhgef25,Arhgef28,Gdf10,Col1a2,Pibf1,Mycl,Noct,Dpysl3,Hck
162,Slc25a37,Ifrd1,Sult1d1,Sntg2,Mt1,Col1a1,Ptgis,Ppan,Kansl2,Mall,Gng4,Tmem173
163,Cpn1,Fam102b,H2-Q1,Pde2a,Cdca7,Qpct,Hbb-bs,Clps,Tyrobp,Ctla2a,AW551984,Itgb7
164,Endod1,Nhsl1,Ptprr,Malat1,Fgfr3,Stmn3,Plekho1,Lgals12,Spc24,Aqp4,Ak1,Prkcb
165,Arhgap20,Anxa8,Ctse,Hspb7,2510046G10Rik,Hbb-bs,Ccdc80,Apobec3,Mcoln2,Cyp2d9,Cntn1,Cd83
166,H2-Q1,Slc15a1,Kras,C3,H2-Aa,Kcnj8,Itm2c,Itga2,C1qa,Fos,Cnn1,Sla
